======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Mon Aug 21 02:13:57 CDT 2023

|Server|SSL Level|SSH Level|
|phlysfldmiax157|not||
|phlysfldmiax173|not||
|phlysfldmiax258|not||
|phlysfldmiax259|not||
|phlysfldmiax265|not||
|phlysfldrs04|not||
|phlysfldrs05|not||
|qcdcbcpaxdb01|1.0.2u|8.1p1|
|qcdcccsaxdb01|1.0.2m|7.5p1|
|qcdceu3axap01|1.0.2u|8.1p1|
|qcdcftaaxdb01|1.0.2u|8.1p1|
|qcdch1taxap01|1.1.1l|8.1p1|
|qcdch1taxdb01|1.0.2u|8.1p1|
|qcdcit0axdb01|1.0.2u|8.1p1|
|qcdcna3axap01|1.0.2u|8.1p1|
|qcdcodbaxdb01|1.0.2r|7.5p1|
|qcdcpltaxdb01|1.0.2u|8.1p1|
|qcdcqgtaxdb01|1.0.2u|8.1p1|
|qcdcqgwaxdb01|1.0.2u|8.1p1|
|qcdcqimaxdb01|1.0.2u|8.1p1|
|qcdcqjbaxdb01|to||
|qcdcqrmaxdb01|1.0.2u|8.1p1|
|qcdcqscaxdb01|1.0.2u|8.1p1|
|qcdcqsnaxap01|1.0.2u|8.1p1|
|qcdcqsnaxdb01|1.0.2u|8.1p1|
|qcdcqsraxdb01|1.0.2u|8.1p1|
|qcdcssqaxdb01|to||
|scdcplsaxdb01|1.0.2u|8.1p1|
|scdcpocaxsv01|denied||
|scdcpocaxsv02|1.0.2u|8.1p1|
|scdcpocaxsv03|1.0.2u|8.1p1|
|scdcpocaxsv04|OpenSSL||
|sfldmiax11|1.0.2u|7.5p1|
|sfldmiax112|1.0.2u|8.1p1|
|sfldmiax113|1.0.2u|8.1p1|
|sfldmiax119|1.0.2r|7.5p1|
|sfldmiax125|1.0.2u|8.1p1|
|sfldmiax126|1.0.2u|8.1p1|
|sfldmiax130|1.0.2u|8.1p1|
|sfldmiax132|1.0.2u|8.1p1|
|sfldmiax133|1.0.2u|8.1p1|
|sfldmiax140|1.0.2u|8.1p1|
|sfldmiax153|1.0.2u|7.5p1|
|sfldmiax154|1.0.2u|7.5p1|
|sfldmiax157|sfldmiax170||
|sfldmiax173|1.0.2u|8.1p1|
|sfldmiax219|0.9.8k|5.2p1|
|sfldmiax241|1.0.2u|8.1p1|
|sfldmiax263|1.0.2u|8.1p1|
|sfldmiax264|OpenSSH_8.1p1,||
|sfldmiax33|0.9.8y|5.2p1|
|sfldmiax36|1.0.2j|6.0p1|
|sfldmiax37|1.0.2u|8.1p1|
|sfldmiax38|0.9.8k|5.2p1|
|sfldmiax44|OpenSSL||
|sfldmiax89|0.9.8k|5.2p1|
|sfldmiax90|1.0.2u|7.5p1|
|sfldrs04|OpenSSH_8.1p1,||
