^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|56 | dgrmdb01  |GRC SAP Oracle DB Server, Risk Management  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP DRM, Oracle DB Server  |  |TaitiosSapbasis,Sigris Conix, Joel Schoofs| 
|57 | qgrmdb01  |GRC SAP Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP QRM, Oracle DB Server  |  |TAITIOSSAPBASIS, Sigrid Conix, Joel Schoofs,Rock Roeber| 
|58 | pgrmdb01  |GRC SAP Oracle DB Server,Risk Management  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP GRC PRM  |  |TAITIOSSAPBASIS, Sigrid Conix, Joel schoofs,Rick Roeber| 
|59 | deerap98  |C11 CI Standby App Server (Active/Pasive Cluster with deerap99,Dev env for TA2)  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP C11 Central Instance  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|60 | deerdb98  |C11 Standby Oracle DB Server (Dataguard replication from deerdb99,Dev env for TA2)  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |C11 Oracle DB  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis,DBA| 
|61 | tgpretl1  |ETL DataStage App Server, Information Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |IBM Datastage Information Server  |  |Brad Vail, Tom Ho, Debbie Rodnicki| 
|62 | pahydb01  |Hyperion Oracle DB Server Production  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |3  |Hyperion Oracle DB Server  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
|63 | tndv3d01  |SST BI/BW SAP Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP BI BW Business Warehouse, Oracle DB Server,Zycus  |  || 
|64 | pahrdb01  |PTB NA HR DB Server -Read-Only after Global HR Implementation   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |NA HR SAP PTB  |  | Tim Smith, Margaret Hyatt| 
|65 | qgsndb01  |SAP Oracle DB Server SNC, Central Instance and Application Server  |  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6B-SN1048EEP  |QSN - Global - SNC / Test/Quality  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
